symbol,instructions,stack_operands,fma,branches
ap::N_SSE4::create(unsigned long),1669,479,0,242
"ap::N_AVX3::efft_prod(int, float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, float const*, float const*)",1481,393,80,65
"ap::N_AVX3::stageA_prod_gm(ap::N_AVX3::BP*, float const*, float const*, float const*, float const*)",890,200,10,56
"ap::N_AVX3::binmax_prod(void*, float const*, float const*, float const*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",59,14,0,5
"ap::N_AVX3::binmax_prod_batch(void*, float const*, float const*, float const*, float const*, int, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",691,70,3,49
"ap::N_AVX2::efft_prod(int, float const*, float const*, float const*, float const*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, float const*, float const*)",1353,390,80,56
"ap::N_AVX2::stageA_prod_gm(ap::N_AVX2::BP*, float const*, float const*, float const*, float const*)",625,87,66,17
"ap::N_AVX2::binmax_prod(void*, float const*, float const*, float const*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",59,14,0,5
"ap::N_AVX2::binmax_prod_batch(void*, float const*, float const*, float const*, float const*, int, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",868,144,3,87
"ap::N_SSE4::efft_prod(int, float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, float const*, float const*)",1102,312,0,62
"ap::N_SSE4::binmax_prod_batch(void*, float const*, float const*, float const*, float const*, int, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",619,88,0,63
"ap::N_SSE4::binmax_prod(void*, float const*, float const*, float const*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",898,166,0,47
