# matchedfilter COARSE THRESHOLD table -- measured, not modelled.
#
# THR n snr f ratio fd threshold
#
# The threshold the coarse maximum is compared against. Bisected
# directly against measured false dismissal until the rate meets fd,
# so the number stored IS the measurement: nothing derives it and
# nothing corrects it. It replaces hmf_threshold's Rice model plus a
# margin, which were two answers to one question.
#
# ratio = band / B_eff, the samples across the correlation peak. That
# is what scalloping depends on, it is dimensionless, and there is no
# n in it. Real references sit at 1.7 to 5.3; the old grid started at 8.
# 6000 trials a bisection step, 9 steps.
THR 1024 5.00 0.9800 16.000 1e-03 4.6562
THR 1024 5.00 0.9950 1.200 1e-03 3.2734
THR 1024 5.00 0.9950 1.500 1e-03 3.5547
THR 1024 5.00 0.9950 2.000 1e-03 3.7480
THR 1024 5.00 0.9950 3.000 1e-03 4.2871
THR 1024 5.00 0.9950 4.000 1e-03 4.4805
THR 1024 5.00 0.9950 6.000 1e-03 4.7793
THR 1024 5.00 0.9950 8.000 1e-03 4.7969
THR 1024 5.00 0.9950 16.000 1e-03 4.8438
THR 1024 5.50 0.5000 1.200 1e-03 2.9240
THR 1024 5.50 0.5000 1.500 1e-03 2.9047
THR 1024 5.50 0.5000 2.000 1e-03 2.8854
THR 1024 5.50 0.5000 3.000 1e-03 2.8402
THR 1024 5.50 0.5000 4.000 1e-03 2.8338
THR 1024 5.50 0.5000 6.000 1e-03 2.7951
THR 1024 5.50 0.5000 8.000 1e-03 2.7629
THR 1024 5.50 0.5000 16.000 1e-03 2.7500
THR 1024 5.50 0.6000 1.200 1e-03 2.9562
THR 1024 5.50 0.6000 1.500 1e-03 2.9949
THR 1024 5.50 0.6000 2.000 1e-03 3.0207
THR 1024 5.50 0.6000 3.000 1e-03 3.0529
THR 1024 5.50 0.6000 4.000 1e-03 3.0336
THR 1024 5.50 0.6000 6.000 1e-03 3.1238
THR 1024 5.50 0.6000 8.000 1e-03 2.9498
THR 1024 5.50 0.6000 16.000 1e-03 3.0207
THR 1024 5.50 0.7000 1.200 1e-03 2.9885
THR 1024 5.50 0.7000 1.500 1e-03 3.1818
THR 1024 5.50 0.7000 2.000 1e-03 3.2270
THR 1024 5.50 0.7000 3.000 1e-03 3.3430
THR 1024 5.50 0.7000 4.000 1e-03 3.3236
THR 1024 5.50 0.7000 6.000 1e-03 3.4461
THR 1024 5.50 0.7000 8.000 1e-03 3.3430
THR 1024 5.50 0.7000 16.000 1e-03 3.2979
THR 1024 5.50 0.8000 1.200 1e-03 3.1818
THR 1024 5.50 0.8000 1.500 1e-03 3.2979
THR 1024 5.50 0.8000 2.000 1e-03 3.4590
THR 1024 5.50 0.8000 3.000 1e-03 3.6266
THR 1024 5.50 0.8000 4.000 1e-03 3.7361
THR 1024 5.50 0.8000 6.000 1e-03 3.9037
