# matchedfilter tuning table
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  bc0cd1e
# trials  20000 per cell (~11571 detections); rates below ~3e-04 are unresolved
#
# Measured by running the real filter against injections and counting the
# peaks the ungated filter reports that it does not. Regenerate with
#   python tools/hmf_tune.py  (see its docstring for what invalidates it)
# FDR rows are a property of the statistic; COST rows are a property of
# this machine and this build, and go stale independently.
#
# WARNING: the COST rows are not usable yet. They were timed on the FDR
# harness, which injects at the threshold so ~half of all pairs trigger
# whatever the band -- so every band reads 9-13 us/pair, where the real
# captures separate band 256 and 1024 by 23 ms/segment against 10. Cost is
# set by how often the gate opens on NOISE at the operating point and needs
# its own pure-noise run.
#
# SCOPE: n=4096 only, decision window = the full transform. A table for
# other transform lengths has to be generated separately.
#
# FDR  n band U K snr f beff dismissal
FDR 4096 512 2 8 6.00 0.9000 10.1 7.0001e-04
FDR 4096 512 2 8 6.00 0.9000 50.6 5.0582e-04
FDR 4096 512 2 8 6.00 0.9000 152.2 8.7951e-04
FDR 4096 512 2 8 6.00 0.9000 305.9 2.3266e-03
FDR 4096 512 2 8 6.00 0.9000 462.7 4.3138e-03
FDR 4096 512 2 8 6.00 0.9500 10.1 5.3813e-04
FDR 4096 512 2 8 6.00 0.9500 50.6 4.9685e-04
FDR 4096 512 2 8 6.00 0.9500 152.2 1.5551e-03
FDR 4096 512 2 8 6.00 0.9500 305.9 4.2452e-03
FDR 4096 512 2 8 6.00 0.9500 462.7 1.1603e-02
FDR 4096 512 2 8 6.00 0.9900 10.1 1.0650e-02
FDR 4096 512 2 8 6.00 0.9900 50.6 3.4330e-03
FDR 4096 512 2 8 6.00 0.9900 152.2 6.9972e-03
FDR 4096 512 2 8 6.00 0.9900 305.9 2.9005e-02
FDR 4096 512 2 8 6.00 0.9900 462.7 5.6902e-02
FDR 4096 1024 2 4 5.00 0.8000 20.6 3.8379e-04
FDR 4096 1024 2 4 5.00 0.8000 100.6 2.5236e-04
FDR 4096 1024 2 4 5.00 0.8000 303.8 0.0000e+00
FDR 4096 1024 2 4 5.00 0.8000 611.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.8000 925.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9000 20.6 5.2395e-04
FDR 4096 1024 2 4 5.00 0.9000 100.6 8.1374e-05
FDR 4096 1024 2 4 5.00 0.9000 303.8 8.6147e-05
FDR 4096 1024 2 4 5.00 0.9000 611.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9000 925.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9500 20.6 5.2691e-04
FDR 4096 1024 2 4 5.00 0.9500 100.6 4.0206e-04
FDR 4096 1024 2 4 5.00 0.9500 303.8 8.4818e-05
FDR 4096 1024 2 4 5.00 0.9500 611.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9500 925.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9900 20.6 7.9603e-03
FDR 4096 1024 2 4 5.00 0.9900 100.6 3.2563e-04
FDR 4096 1024 2 4 5.00 0.9900 303.8 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9900 611.4 0.0000e+00
FDR 4096 1024 2 4 5.00 0.9900 925.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.8000 20.6 4.8697e-04
FDR 4096 1024 2 4 5.50 0.8000 100.6 4.3691e-04
FDR 4096 1024 2 4 5.50 0.8000 303.8 0.0000e+00
FDR 4096 1024 2 4 5.50 0.8000 611.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.8000 925.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.9000 20.6 6.2495e-04
FDR 4096 1024 2 4 5.50 0.9000 100.6 2.5389e-04
FDR 4096 1024 2 4 5.50 0.9000 303.8 8.9111e-05
FDR 4096 1024 2 4 5.50 0.9000 611.4 0.0000e+00
FDR 4096 1024 2 4 5.50 0.9000 925.4 0.0000e+00
