# matchedfilter COST table -- RELATIVE cost per configuration, measured
#
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  398fa6f
#
# Cost RELATIVE to a pivot configuration at the same transform length, not
# microseconds. Absolute time is a property of machine, load and reference
# together; the ratio is a property of the configuration, which is the only
# thing selection needs.
#
# Measured by holding ONE reference fixed and timing every configuration on
# it, cycling rather than running each to completion, and dividing by a pivot
# measured in the same loop. Clock and turbo state, contention, cache
# temperature and the machine cancel in the ratio -- which is also what makes
# it safe to measure these in parallel on every core.
#
# Ranks configurations; do not read them as predictions of runtime.
#
# Regenerate for your own CPU:
#   python tools/hmf_tune.py --retune-cost --out mycost.txt
#   export MF_COST=$PWD/mycost.txt
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 2048 512 2 4 5.75 0.9330 123.7 0.6569
COST 2048 512 2 4 5.75 0.9500 50.6 0.4836
COST 2048 512 2 4 5.75 0.9500 205.5 0.8447
COST 2048 512 2 4 5.75 0.9780 27.1 0.5528
COST 2048 512 2 4 5.75 0.9780 109.1 0.3647
COST 2048 512 2 4 5.75 1.0000 100.6 0.5306
COST 2048 512 2 4 6.00 0.8500 50.6 0.7837
COST 2048 512 2 4 6.00 0.8500 205.5 1.2836
COST 2048 512 2 4 6.00 0.9210 350.9 1.4159
COST 2048 512 2 4 6.00 0.9330 30.8 0.9889
COST 2048 512 2 4 6.00 0.9330 123.7 1.0232
COST 2048 512 2 4 6.00 0.9500 50.6 0.7671
COST 2048 512 2 4 6.00 0.9500 205.5 0.9882
COST 2048 512 2 4 6.00 0.9780 27.1 0.7059
COST 2048 512 2 4 6.00 0.9780 109.1 0.8843
COST 2048 512 2 4 6.00 1.0000 100.6 0.5371
COST 2048 512 2 4 6.50 0.8500 50.6 0.7639
COST 2048 512 2 4 6.50 0.8500 205.5 1.1237
COST 2048 512 2 4 6.50 0.9210 350.9 1.2568
COST 2048 512 2 4 6.50 0.9330 30.8 0.8012
COST 2048 512 2 4 6.50 0.9330 123.7 0.7716
COST 2048 512 2 4 6.50 0.9500 50.6 0.7718
COST 2048 512 2 4 6.50 0.9500 205.5 0.8069
COST 2048 512 2 4 6.50 0.9780 27.1 0.7721
COST 2048 512 2 4 6.50 0.9780 109.1 0.7617
COST 2048 512 2 4 6.50 1.0000 100.6 0.5678
COST 2048 512 2 8 5.00 0.8500 50.6 1.0564
COST 2048 512 2 8 5.00 0.8500 205.5 1.1745
COST 2048 512 2 8 5.00 0.9210 350.9 1.0018
COST 2048 512 2 8 5.00 0.9330 30.8 0.8806
COST 2048 512 2 8 5.00 0.9330 123.7 0.9744
COST 2048 512 2 8 5.00 0.9500 50.6 0.7865
COST 2048 512 2 8 5.00 0.9500 205.5 0.7302
COST 2048 512 2 8 5.00 0.9780 27.1 0.7547
COST 2048 512 2 8 5.00 0.9780 109.1 0.6782
COST 2048 512 2 8 5.00 1.0000 100.6 0.8391
COST 2048 512 2 8 5.50 0.8500 50.6 0.7992
COST 2048 512 2 8 5.50 0.8500 205.5 1.0864
COST 2048 512 2 8 5.50 0.9210 350.9 1.1074
COST 2048 512 2 8 5.50 0.9330 30.8 0.7724
COST 2048 512 2 8 5.50 0.9330 123.7 0.8496
COST 2048 512 2 8 5.50 0.9500 50.6 0.8698
COST 2048 512 2 8 5.50 0.9500 205.5 0.8868
COST 2048 512 2 8 5.50 0.9780 27.1 0.6795
COST 2048 512 2 8 5.50 0.9780 109.1 0.7263
COST 2048 512 2 8 5.50 1.0000 100.6 0.5678
COST 2048 512 2 8 5.75 0.8500 50.6 0.6091
COST 2048 512 2 8 5.75 0.8500 205.5 0.7259
COST 2048 512 2 8 5.75 0.9210 350.9 1.0292
COST 2048 512 2 8 5.75 0.9330 30.8 0.5723
COST 2048 512 2 8 5.75 0.9330 123.7 0.4224
COST 2048 512 2 8 5.75 0.9500 50.6 0.2819
COST 2048 512 2 8 5.75 0.9500 205.5 0.5624
COST 2048 512 2 8 5.75 0.9780 27.1 0.5348
COST 2048 512 2 8 5.75 0.9780 109.1 0.2813
COST 2048 512 2 8 5.75 1.0000 100.6 0.5381
COST 2048 512 2 8 6.00 0.8500 50.6 0.7760
COST 2048 512 2 8 6.00 0.8500 205.5 0.8651
COST 2048 512 2 8 6.00 0.9210 350.9 0.7324
COST 2048 512 2 8 6.00 0.9330 30.8 0.7662
COST 2048 512 2 8 6.00 0.9330 123.7 0.7926
COST 2048 512 2 8 6.00 0.9500 50.6 0.7644
COST 2048 512 2 8 6.00 0.9500 205.5 0.7960
COST 2048 512 2 8 6.00 0.9780 27.1 0.7660
COST 2048 512 2 8 6.00 0.9780 109.1 0.7638
COST 2048 512 2 8 6.00 1.0000 100.6 0.5453
COST 2048 512 2 8 6.50 0.8500 50.6 0.8516
COST 2048 512 2 8 6.50 0.8500 205.5 0.7972
COST 2048 512 2 8 6.50 0.9210 350.9 0.5949
COST 2048 512 2 8 6.50 0.9330 30.8 0.7793
COST 2048 512 2 8 6.50 0.9330 123.7 0.7746
COST 2048 512 2 8 6.50 0.9500 50.6 0.7605
COST 2048 512 2 8 6.50 0.9500 205.5 0.7630
COST 2048 512 2 8 6.50 0.9780 27.1 0.7643
