# ACC2 rows for n=4096, measured with NO oversample.
# band measured at 1024; band is not in the key.
# 24000 trials a cell.
ACC2 4096 4 5.50 0.9800 8.14 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9800 8.14 0.980 4.4666e-04
ACC2 4096 4 5.50 0.9800 8.14 1.000 4.4028e-03
ACC2 4096 4 5.50 0.9800 16.12 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 16.12 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9800 16.12 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9800 16.12 0.980 6.5130e-05
ACC2 4096 4 5.50 0.9800 16.12 1.000 1.3677e-03
ACC2 4096 4 5.50 0.9800 32.61 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 32.61 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9800 32.61 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9800 32.61 0.980 6.6738e-05
ACC2 4096 4 5.50 0.9800 32.61 1.000 8.6759e-04
ACC2 4096 4 5.50 0.9800 64.60 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 64.60 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9800 64.60 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9800 64.60 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9800 64.60 1.000 1.3624e-04
ACC2 4096 4 5.50 0.9800 128.59 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 128.59 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9800 128.59 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9800 128.59 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9800 128.59 1.000 0.0000e+00
ACC2 4096 4 5.50 0.9950 2.03 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 2.03 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 2.03 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 2.03 0.980 1.3699e-03
ACC2 4096 4 5.50 0.9950 2.03 1.000 4.5662e-02
ACC2 4096 4 5.50 0.9950 3.94 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 3.94 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 3.94 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 3.94 0.980 6.6405e-04
ACC2 4096 4 5.50 0.9950 3.94 1.000 3.4199e-02
ACC2 4096 4 5.50 0.9950 8.14 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 8.14 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 8.14 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 8.14 0.980 3.3586e-04
ACC2 4096 4 5.50 0.9950 8.14 1.000 2.4115e-02
ACC2 4096 4 5.50 0.9950 16.12 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9950 16.12 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9950 16.12 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9950 16.12 0.980 0.0000e+00
