# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 32768 6.50 0.9500 8.000 1e-03 5.7256
THR 32768 6.50 0.9500 16.000 1e-03 5.9008
THR 32768 6.50 0.9800 1.200 1e-03 4.1945
THR 32768 6.50 0.9800 1.500 1e-03 4.4688
THR 32768 6.50 0.9800 2.000 1e-03 4.8877
THR 32768 6.50 0.9800 3.000 1e-03 5.4742
THR 32768 6.50 0.9800 4.000 1e-03 5.7865
THR 32768 6.50 0.9800 6.000 1e-03 6.0760
THR 32768 6.50 0.9800 8.000 1e-03 6.1141
THR 32768 6.50 0.9800 16.000 1e-03 6.1064
THR 32768 6.50 0.9950 1.200 1e-03 4.2250
THR 32768 6.50 0.9950 1.500 1e-03 4.5068
THR 32768 6.50 0.9950 2.000 1e-03 4.9563
THR 32768 6.50 0.9950 3.000 1e-03 5.5275
THR 32768 6.50 0.9950 4.000 1e-03 5.9313
THR 32768 6.50 0.9950 6.000 1e-03 6.1979
THR 32768 6.50 0.9950 8.000 1e-03 6.2740
THR 32768 6.50 0.9950 16.000 1e-03 6.3273
THR 32768 5.00 0.3000 1.200 1e-02 3.3086
THR 32768 5.00 0.3000 1.500 1e-02 3.3027
THR 32768 5.00 0.3000 2.000 1e-02 3.2969
THR 32768 5.00 0.3000 3.000 1e-02 3.2676
THR 32768 5.00 0.3000 4.000 1e-02 3.2559
THR 32768 5.00 0.3000 6.000 1e-02 3.1914
THR 32768 5.00 0.3000 8.000 1e-02 3.0859
THR 32768 5.00 0.3000 16.000 1e-02 2.8867
THR 32768 5.00 0.4000 1.200 1e-02 3.3262
THR 32768 5.00 0.4000 1.500 1e-02 3.3262
THR 32768 5.00 0.4000 2.000 1e-02 3.3203
THR 32768 5.00 0.4000 3.000 1e-02 3.3262
THR 32768 5.00 0.4000 4.000 1e-02 3.2969
THR 32768 5.00 0.4000 6.000 1e-02 3.2441
THR 32768 5.00 0.4000 8.000 1e-02 3.1973
THR 32768 5.00 0.4000 16.000 1e-02 2.9688
THR 32768 5.00 0.5000 1.200 1e-02 3.3555
THR 32768 5.00 0.5000 1.500 1e-02 3.3672
THR 32768 5.00 0.5000 2.000 1e-02 3.3672
THR 32768 5.00 0.5000 3.000 1e-02 3.3848
THR 32768 5.00 0.5000 4.000 1e-02 3.3789
THR 32768 5.00 0.5000 6.000 1e-02 3.3379
THR 32768 5.00 0.5000 8.000 1e-02 3.2852
THR 32768 5.00 0.5000 16.000 1e-02 3.1270
THR 32768 5.00 0.6000 1.200 1e-02 3.4082
THR 32768 5.00 0.6000 1.500 1e-02 3.4141
THR 32768 5.00 0.6000 2.000 1e-02 3.4316
THR 32768 5.00 0.6000 3.000 1e-02 3.4668
THR 32768 5.00 0.6000 4.000 1e-02 3.4668
THR 32768 5.00 0.6000 6.000 1e-02 3.4609
THR 32768 5.00 0.6000 8.000 1e-02 3.3965
THR 32768 5.00 0.6000 16.000 1e-02 3.2969
THR 32768 5.00 0.7000 1.200 1e-02 3.4551
