# ACC2R rows: n=4096, NO oversample, keyed on band/B_eff.
# measured at band 1024; 24000 trials a cell.
# ACC2R n K snr f ratio margin dismissal
ACC2R 4096 4 5.50 0.8000 1.009 0.900 3.0546e-03
ACC2R 4096 4 5.50 0.8000 1.009 0.930 1.0997e-02
ACC2R 4096 4 5.50 0.8000 1.009 0.960 2.3368e-02
ACC2R 4096 4 5.50 0.8000 1.009 0.980 3.5281e-02
ACC2R 4096 4 5.50 0.8000 1.009 1.000 5.1852e-02
ACC2R 4096 4 5.50 0.8000 1.494 0.900 6.8992e-04
ACC2R 4096 4 5.50 0.8000 1.494 0.930 2.3764e-03
ACC2R 4096 4 5.50 0.8000 1.494 0.960 7.2058e-03
ACC2R 4096 4 5.50 0.8000 1.494 0.980 1.2419e-02
ACC2R 4096 4 5.50 0.8000 1.494 1.000 1.9778e-02
ACC2R 4096 4 5.50 0.8000 1.970 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 1.970 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 1.970 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.8000 1.970 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.8000 1.970 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.056 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.8000 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.8000 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.8000 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.8000 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.8000 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 7.963 0.960 7.3292e-05
ACC2R 4096 4 5.50 0.8000 7.963 0.980 7.3292e-05
ACC2R 4096 4 5.50 0.8000 7.963 1.000 1.4658e-04
ACC2R 4096 4 5.50 0.8000 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 15.851 0.960 2.8547e-04
ACC2R 4096 4 5.50 0.8000 15.851 0.980 3.5684e-04
ACC2R 4096 4 5.50 0.8000 15.851 1.000 4.9957e-04
ACC2R 4096 4 5.50 0.8000 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.8000 31.403 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.8000 31.403 0.960 6.9295e-05
ACC2R 4096 4 5.50 0.8000 31.403 0.980 1.3859e-04
ACC2R 4096 4 5.50 0.8000 31.403 1.000 5.5436e-04
ACC2R 4096 4 5.50 0.9000 1.009 0.900 6.0221e-02
ACC2R 4096 4 5.50 0.9000 1.009 0.930 9.0407e-02
ACC2R 4096 4 5.50 0.9000 1.009 0.960 1.2407e-01
ACC2R 4096 4 5.50 0.9000 1.009 0.980 1.4813e-01
ACC2R 4096 4 5.50 0.9000 1.009 1.000 1.7582e-01
ACC2R 4096 4 5.50 0.9000 1.494 0.900 1.8387e-02
ACC2R 4096 4 5.50 0.9000 1.494 0.930 3.1876e-02
ACC2R 4096 4 5.50 0.9000 1.494 0.960 5.0490e-02
ACC2R 4096 4 5.50 0.9000 1.494 0.980 6.8726e-02
ACC2R 4096 4 5.50 0.9000 1.494 1.000 8.9601e-02
ACC2R 4096 4 5.50 0.9000 1.970 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 1.970 0.930 3.7566e-04
ACC2R 4096 4 5.50 0.9000 1.970 0.960 8.2645e-04
ACC2R 4096 4 5.50 0.9000 1.970 0.980 1.5026e-03
ACC2R 4096 4 5.50 0.9000 1.970 1.000 2.7799e-03
ACC2R 4096 4 5.50 0.9000 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.056 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9000 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9000 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9000 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9000 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9000 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9000 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9000 7.963 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9000 7.963 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9000 7.963 1.000 7.1043e-05
ACC2R 4096 4 5.50 0.9000 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.50 0.9000 15.851 0.960 0.0000e+00
ACC2R 4096 4 5.50 0.9000 15.851 0.980 0.0000e+00
ACC2R 4096 4 5.50 0.9000 15.851 1.000 0.0000e+00
ACC2R 4096 4 5.50 0.9000 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9000 31.403 0.930 6.6392e-05
ACC2R 4096 4 5.50 0.9000 31.403 0.960 6.6392e-05
ACC2R 4096 4 5.50 0.9000 31.403 0.980 6.6392e-05
ACC2R 4096 4 5.50 0.9000 31.403 1.000 5.3114e-04
ACC2R 4096 4 5.50 0.9500 1.009 0.900 1.1735e-01
ACC2R 4096 4 5.50 0.9500 1.009 0.930 1.5456e-01
ACC2R 4096 4 5.50 0.9500 1.009 0.960 1.9771e-01
ACC2R 4096 4 5.50 0.9500 1.009 0.980 2.2741e-01
ACC2R 4096 4 5.50 0.9500 1.009 1.000 2.5635e-01
ACC2R 4096 4 5.50 0.9500 1.494 0.900 4.2000e-02
ACC2R 4096 4 5.50 0.9500 1.494 0.930 6.6856e-02
ACC2R 4096 4 5.50 0.9500 1.494 0.960 9.9049e-02
ACC2R 4096 4 5.50 0.9500 1.494 0.980 1.2405e-01
ACC2R 4096 4 5.50 0.9500 1.494 1.000 1.5138e-01
ACC2R 4096 4 5.50 0.9500 1.970 0.900 2.9753e-04
ACC2R 4096 4 5.50 0.9500 1.970 0.930 8.9259e-04
ACC2R 4096 4 5.50 0.9500 1.970 0.960 1.9339e-03
ACC2R 4096 4 5.50 0.9500 1.970 0.980 3.4960e-03
ACC2R 4096 4 5.50 0.9500 1.970 1.000 5.5787e-03
ACC2R 4096 4 5.50 0.9500 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.50 0.9500 3.056 0.930 0.0000e+00
