# EXPERIMENTAL: do not ship as default. The sparse lookup picked a slower
# band on the inspiral reference; see docs/tooling-cleanup.md.
# Relative CPU COST rows; current runtime gate; serial interleaved timing
# cpu AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# n band U K snr f beff margin relative_cost
COST 4096 2048 2 4 5.00 1.000000 33.227 1.000 2.833423
COST 4096 2048 2 8 5.00 1.000000 33.227 1.000 2.816535
COST 4096 64 2 4 5.00 0.970504 31.342 1.000 0.496500
COST 4096 64 2 8 5.00 0.970504 31.342 1.000 0.455688
COST 4096 128 2 4 5.00 0.989616 32.576 1.000 0.169888
COST 4096 128 2 8 5.00 0.989616 32.576 1.000 0.167583
COST 4096 256 2 4 5.00 0.990000 32.601 1.000 0.284713
COST 4096 256 2 8 5.00 0.990000 32.601 1.000 0.284902
COST 4096 512 2 4 5.00 0.994781 32.916 1.000 0.565344
COST 4096 512 2 8 5.00 0.994781 32.916 1.000 0.560122
COST 4096 1024 2 4 5.00 0.998632 33.172 1.000 1.010733
COST 4096 1024 2 8 5.00 0.998632 33.172 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 33.263 1.000 2.929043
COST 4096 2048 2 8 5.00 1.000000 33.263 1.000 2.837200
COST 4096 64 2 4 5.00 0.970493 31.345 1.000 0.528018
COST 4096 64 2 8 5.00 0.970493 31.345 1.000 0.458395
COST 4096 128 2 4 5.00 0.989616 32.580 1.000 0.167269
COST 4096 128 2 8 5.00 0.989616 32.580 1.000 0.168588
COST 4096 256 2 4 5.00 0.990000 32.606 1.000 0.278090
COST 4096 256 2 8 5.00 0.990000 32.606 1.000 0.276334
COST 4096 512 2 4 5.00 0.990000 32.606 1.000 0.542717
COST 4096 512 2 8 5.00 0.990000 32.606 1.000 0.533506
COST 4096 1024 2 4 5.00 0.997378 33.093 1.000 0.969712
COST 4096 1024 2 8 5.00 0.997378 33.093 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 33.267 1.000 2.809451
COST 4096 2048 2 8 5.00 1.000000 33.267 1.000 2.797382
COST 4096 64 2 4 5.00 0.970488 31.347 1.000 0.531917
COST 4096 64 2 8 5.00 0.970488 31.347 1.000 0.456006
COST 4096 128 2 4 5.00 0.989615 32.583 1.000 0.169905
COST 4096 128 2 8 5.00 0.989615 32.583 1.000 0.167086
COST 4096 256 2 4 5.00 0.990000 32.608 1.000 0.294196
COST 4096 256 2 8 5.00 0.990000 32.608 1.000 0.279421
COST 4096 512 2 4 5.00 0.990000 32.608 1.000 0.551828
COST 4096 512 2 8 5.00 0.990000 32.608 1.000 0.550316
COST 4096 1024 2 4 5.00 0.990000 32.608 1.000 0.996638
COST 4096 1024 2 8 5.00 0.990000 32.608 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 33.270 1.000 2.797673
COST 4096 2048 2 8 5.00 1.000000 33.270 1.000 2.800510
COST 4096 64 2 4 5.00 0.980288 31.348 1.000 0.466570
COST 4096 64 2 8 5.00 0.980288 31.348 1.000 0.417680
COST 4096 128 2 4 5.00 0.999611 32.584 1.000 0.165861
COST 4096 128 2 8 5.00 0.999611 32.584 1.000 0.166396
COST 4096 256 2 4 5.00 1.000000 32.609 1.000 0.283632
COST 4096 256 2 8 5.00 1.000000 32.609 1.000 0.285910
COST 4096 512 2 4 5.00 1.000000 32.609 1.000 0.558523
COST 4096 512 2 8 5.00 1.000000 32.609 1.000 0.560018
COST 4096 1024 2 4 5.00 1.000000 32.609 1.000 0.998151
COST 4096 1024 2 8 5.00 1.000000 32.609 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.609 1.000 2.881035
COST 4096 2048 2 8 5.00 1.000000 32.609 1.000 2.928553
COST 4096 64 2 4 5.50 0.900000 8.132 1.000 0.091909
COST 4096 64 2 8 5.50 0.900000 8.132 1.000 0.089521
COST 4096 128 2 4 5.50 0.914890 8.403 1.000 0.116887
COST 4096 128 2 8 5.50 0.914890 8.403 1.000 0.117565
COST 4096 256 2 4 5.50 0.938391 8.840 1.000 0.262818
COST 4096 256 2 8 5.50 0.938391 8.840 1.000 0.261583
COST 4096 512 2 4 5.50 0.967848 9.404 1.000 0.531267
COST 4096 512 2 8 5.50 0.967848 9.404 1.000 0.526492
COST 4096 1024 2 4 5.50 0.991570 9.870 1.000 0.971979
COST 4096 1024 2 8 5.50 0.991570 9.870 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 10.039 1.000 2.843931
COST 4096 2048 2 8 5.50 1.000000 10.039 1.000 2.808920
COST 4096 64 2 4 5.50 0.900000 8.137 1.000 0.094237
COST 4096 64 2 8 5.50 0.900000 8.137 1.000 0.092338
COST 4096 128 2 4 5.50 0.900000 8.137 1.000 0.122846
COST 4096 128 2 8 5.50 0.900000 8.137 1.000 0.121994
COST 4096 256 2 4 5.50 0.927612 8.643 1.000 0.272246
COST 4096 256 2 8 5.50 0.927612 8.643 1.000 0.272104
COST 4096 512 2 4 5.50 0.962223 9.300 1.000 0.551369
COST 4096 512 2 8 5.50 0.962223 9.300 1.000 0.544815
COST 4096 1024 2 4 5.50 0.990096 9.846 1.000 1.006266
COST 4096 1024 2 8 5.50 0.990096 9.846 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 10.044 1.000 2.955928
COST 4096 2048 2 8 5.50 1.000000 10.044 1.000 2.895877
COST 4096 64 2 4 5.50 0.900000 8.139 1.000 0.092687
COST 4096 64 2 8 5.50 0.900000 8.139 1.000 0.091666
COST 4096 128 2 4 5.50 0.900000 8.139 1.000 0.123815
COST 4096 128 2 8 5.50 0.900000 8.139 1.000 0.122220
COST 4096 256 2 4 5.50 0.900000 8.139 1.000 0.281032
COST 4096 256 2 8 5.50 0.900000 8.139 1.000 0.269064
COST 4096 512 2 4 5.50 0.947813 9.026 1.000 0.557926
COST 4096 512 2 8 5.50 0.947813 9.026 1.000 0.552812
COST 4096 1024 2 4 5.50 0.986318 9.774 1.000 1.009732
COST 4096 1024 2 8 5.50 0.986318 9.774 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 10.047 1.000 2.985977
COST 4096 2048 2 8 5.50 1.000000 10.047 1.000 2.895726
COST 4096 64 2 4 5.50 0.900000 8.140 1.000 0.091830
COST 4096 64 2 8 5.50 0.900000 8.140 1.000 0.089501
COST 4096 128 2 4 5.50 0.900000 8.140 1.000 0.124115
COST 4096 128 2 8 5.50 0.900000 8.140 1.000 0.120781
COST 4096 256 2 4 5.50 0.900000 8.140 1.000 0.268088
COST 4096 256 2 8 5.50 0.900000 8.140 1.000 0.265002
COST 4096 512 2 4 5.50 0.900000 8.140 1.000 0.546165
COST 4096 512 2 8 5.50 0.900000 8.140 1.000 0.543293
COST 4096 1024 2 4 5.50 0.973782 9.528 1.000 0.997424
COST 4096 1024 2 8 5.50 0.973782 9.528 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 10.048 1.000 2.901884
COST 4096 2048 2 8 5.50 1.000000 10.048 1.000 2.876357
COST 4096 64 2 4 5.50 0.900000 8.141 1.000 0.092795
COST 4096 64 2 8 5.50 0.900000 8.141 1.000 0.090117
COST 4096 128 2 4 5.50 0.900000 8.141 1.000 0.124193
COST 4096 128 2 8 5.50 0.900000 8.141 1.000 0.122919
COST 4096 256 2 4 5.50 0.900000 8.141 1.000 0.270083
COST 4096 256 2 8 5.50 0.900000 8.141 1.000 0.271588
COST 4096 512 2 4 5.50 0.900000 8.141 1.000 0.551228
COST 4096 512 2 8 5.50 0.900000 8.141 1.000 0.549117
COST 4096 1024 2 4 5.50 0.900000 8.141 1.000 1.014160
